step,dataset,model,attack,selection_metric,budget_ratio,id_ratio,before_acc,after_acc,acc_gain
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,random,0.3,0.5,0.7216666666666667,0.7613333333333333,0.03966666666666663
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,random,0.3,0.75,0.7216666666666667,0.768,0.04633333333333334
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,uncertainty,0.1,0.25,0.7216666666666667,0.7353333333333333,0.013666666666666605
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,uncertainty,0.1,0.5,0.7216666666666667,0.7366666666666667,0.015000000000000013
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,uncertainty,0.1,0.75,0.7216666666666667,0.7396666666666667,0.018000000000000016
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,uncertainty,0.2,0.25,0.7216666666666667,0.7483333333333333,0.026666666666666616
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,uncertainty,0.2,0.5,0.7216666666666667,0.753,0.031333333333333324
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,uncertainty,0.2,0.75,0.7216666666666667,0.7606666666666667,0.039000000000000035
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,uncertainty,0.3,0.25,0.7216666666666667,0.762,0.04033333333333333
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,uncertainty,0.3,0.5,0.7216666666666667,0.7713333333333333,0.04966666666666664
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,uncertainty,0.3,0.75,0.7216666666666667,0.7676666666666667,0.04600000000000004
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,entropy,0.1,0.25,0.7216666666666667,0.735,0.013333333333333308
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,entropy,0.1,0.5,0.7216666666666667,0.734,0.012333333333333307
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,entropy,0.1,0.75,0.7216666666666667,0.7426666666666667,0.02100000000000002
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,entropy,0.2,0.25,0.7216666666666667,0.7453333333333333,0.023666666666666614
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,entropy,0.2,0.5,0.7216666666666667,0.7516666666666667,0.030000000000000027
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,entropy,0.2,0.75,0.7216666666666667,0.7576666666666667,0.03600000000000003
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,entropy,0.3,0.25,0.7216666666666667,0.7633333333333333,0.04166666666666663
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,entropy,0.3,0.5,0.7216666666666667,0.7686666666666667,0.04700000000000004
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,entropy,0.3,0.75,0.7216666666666667,0.7693333333333333,0.047666666666666635
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,gd,0.1,0.25,0.7216666666666667,0.726,0.0043333333333333
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,gd,0.1,0.5,0.7216666666666667,0.7286666666666667,0.007000000000000006
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,gd,0.1,0.75,0.7216666666666667,0.73,0.008333333333333304
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,gd,0.2,0.25,0.7216666666666667,0.733,0.011333333333333306
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,gd,0.2,0.5,0.7216666666666667,0.7363333333333333,0.014666666666666606
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,gd,0.2,0.75,0.7216666666666667,0.7383333333333333,0.016666666666666607
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,gd,0.3,0.25,0.7216666666666667,0.7403333333333333,0.01866666666666661
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,gd,0.3,0.5,0.7216666666666667,0.7446666666666667,0.02300000000000002
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,gd,0.3,0.75,0.7216666666666667,0.7516666666666667,0.030000000000000027
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,ensemble_rank,0.1,0.25,0.7216666666666667,0.7356666666666667,0.014000000000000012
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,ensemble_rank,0.1,0.5,0.7216666666666667,0.7386666666666667,0.017000000000000015
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,ensemble_rank,0.1,0.75,0.7216666666666667,0.7416666666666667,0.020000000000000018
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,ensemble_rank,0.2,0.25,0.7216666666666667,0.7496666666666667,0.028000000000000025
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,ensemble_rank,0.2,0.5,0.7216666666666667,0.7543333333333333,0.03266666666666662
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,ensemble_rank,0.2,0.75,0.7216666666666667,0.7583333333333333,0.036666666666666625
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,ensemble_rank,0.3,0.25,0.7216666666666667,0.766,0.044333333333333336
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,ensemble_rank,0.3,0.5,0.7216666666666667,0.769,0.04733333333333334
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,ensemble_rank,0.3,0.75,0.7216666666666667,0.7686666666666667,0.04700000000000004
